id,city,district,std-code,state,gst-state-code,iso_3166-2,population,rank,latitude,longitude,altitude
1,Port Blair,South Andaman,3192,Andaman and Nicobar Islands,AN,IN-AN,108058,423,11.6233774,92.7264828,16.12903976
2,Adoni,Kurnool,8512,Andhra Pradesh,AD,IN-AP,166537,261,15.6322227,77.2728368,425.79953
3,Amaravati,Guntur,866,Andhra Pradesh,AD,IN-AP,103000,446,16.574517,80.359012,34.70643616
4,Anantapur,Anantapur,8554,Andhra Pradesh,AD,IN-AP,268503,168,14.6818877,77.6005911,348.9018555
5,Bhimavaram,West,8816,Andhra Pradesh,AD,IN-AP,142280,319,16.544709,81.520593,8.032157898
6,Chilakaluripet,Guntur,8646,Andhra Pradesh,AD,IN-AP,101398,457,16.0924301,80.1623948,34.29998016
7,Chittoor,Chittoor,8572,Andhra Pradesh,AD,IN-AP,153766,289,13.217176,79.1003289,310.4804688
8,Dharmavaram,Anantapur,8559,Andhra Pradesh,AD,IN-AP,121874,369,14.422733,77.721472,366.432251
9,Eluru,West,8812,Andhra Pradesh,AD,IN-AP,217876,201,16.7106604,81.0952431,21.15529251
10,Gudivada,Krishna,8674,Andhra Pradesh,AD,IN-AP,118167,381,16.4410255,80.9926327,12.98032093
11,Guntakal,Anantapur,8552,Andhra Pradesh,AD,IN-AP,126270,359,15.1674091,77.3736238,456.1523132
12,Guntur,Guntur,863,Andhra Pradesh,AD,IN-AP,743354,61,16.3066525,80.4365402,39.71603775
13,Hindupur,Anantapur,8556,Andhra Pradesh,AD,IN-AP,151835,292,13.829069,77.491835,628.6644287
14,Kadapa,Kadapa,8562,Andhra Pradesh,AD,IN-AP,341823,129,14.4673541,78.8241339,137.4309082
15,Kakinada,East,884,Andhra Pradesh,AD,IN-AP,312255,141,16.9890648,82.2474648,7.053235054
16,Kurnool,Kurnool,8518,Andhra Pradesh,AD,IN-AP,424920,105,15.8281257,78.0372792,284.974884
17,Machilipatnam,Krishna,8672,Andhra Pradesh,AD,IN-AP,169892,256,16.1905457,81.1361543,10.91092873
18,Madanapalle,Chittoor,8571,Andhra Pradesh,AD,IN-AP,135669,335,13.5603491,78.5036065,690.973877
19,Nandyal,Kurnool,8514,Andhra Pradesh,AD,IN-AP,200746,215,15.4785694,78.4830934,211.9016724
20,Narasaraopet,Guntur,8647,Andhra Pradesh,AD,IN-AP,116250,390,16.2353506,80.0479039,76.20675659
21,Nellore,Nellore,861,Andhra Pradesh,AD,IN-AP,499575,89,14.4425987,79.986456,19.11972427
22,Ongole,Prakasam,8592,Andhra Pradesh,AD,IN-AP,202826,212,15.5057232,80.049922,19.72561646
23,Proddatur,Kadapa,8564,Andhra Pradesh,AD,IN-AP,162816,270,14.7491864,78.5531577,159.6723785
24,Rajamahendravaram,East,883,Andhra Pradesh,AD,IN-AP,419818,106,17.0005383,81.8040345,36.38978577
25,Srikakulam,Srikakulam,8942,Andhra Pradesh,AD,IN-AP,125939,362,18.2969747,83.8967813,16.95469856
26,Tadepalligudem,West,8818,Andhra Pradesh,AD,IN-AP,103906,442,16.8138415,81.521241,17.9314785
27,Tadipatri,Anantapur,8558,Andhra Pradesh,AD,IN-AP,108171,422,14.9070274,78.0092703,239.9841156
28,Tenali,Guntur,8644,Andhra Pradesh,AD,IN-AP,164937,265,16.2395313,80.6493396,17
29,Tirupati,Chittoor,877,Andhra Pradesh,AD,IN-AP,374260,117,13.6287557,79.4191795,153.6281586
30,Vijayawada,Krishna,866,Andhra Pradesh,AD,IN-AP,1048240,42,16.5061743,80.6480153,31.65884972
31,Visakhapatnam,Visakhapatnam,891,Andhra Pradesh,AD,IN-AP,2035922,18,17.6868159,83.2184815,54.02649689
32,Vizianagaram,Vizianagaram,8922,Andhra Pradesh,AD,IN-AP,228025,194,18.1066576,83.3955506,66.53398132
33,Itanagar,Papum Pare,360,Arunachal Pradesh,AR,IN-AR,34970,526,27.081581,93.6027,260.4170227
34,Bongaigaon,Bongaigaon,3664,Assam,AS,IN-AS,174973,247,26.5009992,90.5352356,61.44454956
35,Dhubri,Dhubri,3662,Assam,AS,IN-AS,109234,419,26.0206982,89.9743463,31.24821281
36,Dibrugarh,Dibrugarh,373,Assam,AS,IN-AS,154019,288,27.4728327,94.9119621,109.443573
37,Guwahati,Kamrup,361,Assam,AS,IN-AS,968549,47,26.1445169,91.7362365,49.71243286
38,Jorhat,Jorhat,376,Assam,AS,IN-AS,153249,291,26.7465203,94.2025859,93
39,Nagaon,Nagaon,3672,Assam,AS,IN-AS,147137,303,26.3463713,92.6840426,70.47322083
40,Silchar,Cachar,3842,Assam,AS,IN-AS,228985,193,24.8332708,92.7789054,24
41,Tezpur,Sonitpur,3712,Assam,AS,IN-AS,100477,461,26.6528495,92.7925592,80.89276886
42,Tinsukia,Tinsukia,374,Assam,AS,IN-AS,125637,363,27.4921909,95.346775,124.8054733
43,Arrah,Bhojpur,6182,Bihar,BR,IN-BR,261099,173,25.5560443,84.6603307,65.22813416
44,Aurangabad,Aurangabad,6186,Bihar,BR,IN-BR,101520,456,24.7457189,84.3804888,115.0035934
45,Bagaha,West Champaran,6251,Bihar,BR,IN-BR,113012,405,27.128635,84.062203,94
46,Begusarai,Begusarai,6243,Bihar,BR,IN-BR,251136,178,25.416675,86.1293792,48.2841301
47,Bettiah,West Champaran,6254,Bihar,BR,IN-BR,156200,278,26.8028048,84.5169757,77.7228775
48,Bhagalpur,Bhagalpur,641,Bihar,BR,IN-BR,410210,109,25.2414303,86.9924358,44.16566086
49,Bihar Sharif,Nalanda,6112,Bihar,BR,IN-BR,296889,153,25.1982147,85.5148735,58.44003296
50,Buxar,Buxar,6183,Bihar,BR,IN-BR,110608,414,25.5647103,83.9777482,67.23199463
51,Chhapra,Saran,6152,Bihar,BR,IN-BR,212955,204,25.7795649,84.7498886,60.20641708
52,Darbhanga,Darbhanga,6272,Bihar,BR,IN-BR,306089,146,26.111868,85.896004,56.54932022
53,Dehri,Rohtas,6184,Bihar,BR,IN-BR,137068,332,24.9277351,84.1909841,107.9899445
54,Gaya,Gaya,631,Bihar,BR,IN-BR,470839,97,24.7954523,84.999431,116.2075958
55,Hajipur,Vaishali,6224,Bihar,BR,IN-BR,147688,299,25.692562,85.208369,55.33710098
56,Jamalpur,Munger,6344,Bihar,BR,IN-BR,105221,438,25.312717,86.4906091,53
57,Jehanabad,Jehanabad,6114,Bihar,BR,IN-BR,102456,449,25.2139287,84.9895549,70.55371094
58,Katihar,Katihar,6452,Bihar,BR,IN-BR,240565,184,25.542424,87.567953,33.50004196
59,Kishanganj,Kishanganj,6456,Bihar,BR,IN-BR,107076,427,26.0917422,87.9383822,52.08067703
60,Lakhisarai,Lakhisarai,6346,Bihar,BR,IN-BR,99931,467,25.1673614,86.0988253,44.62659454
61,Motihari,East Champaran,6252,Bihar,BR,IN-BR,125183,366,26.6469624,84.9088938,71.75642395
62,Munger,Munger,6344,Bihar,BR,IN-BR,213101,203,25.376505,86.476588,49.78596115
63,Muzaffarpur,Muzaffarpur,621,Bihar,BR,IN-BR,393724,113,26.1208876,85.3647201,59.51567841
64,Nawada,Nawada,6324,Bihar,BR,IN-BR,118820,377,24.877299,85.538434,90.87934875
65,Patna,Patna,612,Bihar,BR,IN-BR,2046652,17,25.5940947,85.1375645,54.95563126
66,Purnia,Purnia,6454,Bihar,BR,IN-BR,310817,143,25.7771391,87.4752551,42.60599518
67,Saharsa,Saharsa,6478,Bihar,BR,IN-BR,155175,280,25.8834961,86.6006249,48.17268372
68,Sasaram,Rohtas,6184,Bihar,BR,IN-BR,147396,302,24.949036,84.0314295,108.2407227
69,Sitamarhi,Sitamarhi,6226,Bihar,BR,IN-BR,105924,433,26.5952476,85.4808393,67
70,Siwan,Siwan,6154,Bihar,BR,IN-BR,134458,337,26.2196205,84.3566593,71.35335541
71,Chandigarh,Chandigarh,172,Chandigarh,CH,IN-CH,1054686,41,30.7399738,76.7567368,334.1286316
72,Ambikapur,Surguja,7774,Chhattisgarh,CG,IN-CT,114575,399,23.1354921,83.1817856,604.1185913
73,Bilaspur,Bilaspur,7752,Chhattisgarh,CG,IN-CT,330106,131,22.0796251,82.1391412,270.4966431
74,Chirmiri,Koriya,7771,Chhattisgarh,CG,IN-CT,103575,444,23.1879502,82.354162,579.0206909
75,Dhamtari,Dhamtari,7722,Chhattisgarh,CG,IN-CT,101677,453,20.7014999,81.5541579,326.9315491
76,Durg,Durg,788,Chhattisgarh,CG,IN-CT,894376,55,21.1904494,81.2849169,296.6963806
77,Jagdalpur,Bastar,7782,Chhattisgarh,CG,IN-CT,125345,365,19.0740973,82.008014,559.7224121
78,Korba,Korba,7759,Chhattisgarh,CG,IN-CT,363210,121,22.3594501,82.7500595,314.9524231
79,Mahasamund,Mahasamund,7723,Chhattisgarh,CG,IN-CT,96850,481,21.1091317,82.0979023,298.6129761
80,Naya Raipur,Raipur,771,Chhattisgarh,CG,IN-CT,560000,77,21.1649932,81.7753055,314
81,Pakhanjore,kanker,7844,Chhattisgarh,CG,IN-CT,142240,320,20.0399913,80.6271415,335.3703308
82,Raigarh,Raigarh,7762,Chhattisgarh,CG,IN-CT,100097,465,21.8974003,83.3949632,225.9944305
83,Raipur,Raipur,771,Chhattisgarh,CG,IN-CT,1010087,44,21.2513844,81.6296413,296.9813843
84,Rajnandgaon,Rajnandgaon,7744,Chhattisgarh,CG,IN-CT,263122,170,21.0971034,81.0302222,309.6764221
85,Daman,Daman,2875,Dadra and Nagar Haveli and Daman and Diu,DNHDD,IN-DH,191173,229,20.3973736,72.8327991,13.75084972
86,Silvassa,Dadra and Nagar Haveli,260,Dadra and Nagar Haveli and Daman and Diu,DNHDD,IN-DH,98265,472,20.2762659,73.0083061,45.3859787
87,Delhi,Delhi,11,Delhi,DL,IN-DL,16314838,1,28.6139391,77.2090212,213.1585999
88,Margao,South Goa,832,Goa,GA,IN-GA,87650,517,15.2832187,73.986191,34.68006897
89,Mormugao,South Goa,832,Goa,GA,IN-GA,97085,479,15.3874352,73.8154394,25.81946754
90,Panaji,North Goa,832,Goa,GA,IN-GA,114405,401,15.4909301,73.8278496,51.43948746
91,Vasco,South Goa,832,Goa,GA,IN-GA,100485,460,15.3860329,73.8440398,43.95529175
92,Ahmedabad,Ahmedabad,79,Gujarat,GJ,IN-GJ,6577940,7,23.022505,72.5713621,50.38751221
93,Amreli,Amreli,2792,Gujarat,GJ,IN-GJ,105573,435,21.6031774,71.2220832,125.6765442
94,Amreli,Amreli,2792,Gujarat,GJ,IN-GJ,105573,436,21.6031774,71.2220832,125.6765442
95,Anand,Anand,2692,Gujarat,GJ,IN-GJ,198282,219,22.5645175,72.928871,40.31628799
96,Ankleshwar,Bharuch,2646,Gujarat,GJ,IN-GJ,140839,324,21.6264236,73.0151984,24.07283211
97,Bharuch,Bharuch,2642,Gujarat,GJ,IN-GJ,169007,258,21.701963,72.99996,16.83368874
98,Bhavnagar,Bhavnagar,278,Gujarat,GJ,IN-GJ,593368,74,21.768064,72.147388,30.2083931
99,Bhuj,Kutch,2832,Gujarat,GJ,IN-GJ,143286,317,23.2419997,69.6669324,104.7913437
100,Botad,Botad,2849,Gujarat,GJ,IN-GJ,130327,350,22.1704232,71.6684269,89.01899719
101,Dahod,Dahod,2673,Gujarat,GJ,IN-GJ,118846,375,22.8379314,74.2531465,300.2412109
102,Deesa,Banaskantha,2744,Gujarat,GJ,IN-GJ,111149,411,24.2585031,72.1906721,144.5768585
103,Gandhidham,Kutch,2836,Gujarat,GJ,IN-GJ,247992,181,23.075297,70.133673,18.43569565
104,Gandhinagar,Gandhinagar,2712,Gujarat,GJ,IN-GJ,206167,208,23.2156354,72.6369415,78.92721558
105,Godhra,Panchmahal,2672,Gujarat,GJ,IN-GJ,143644,313,22.7788044,73.6142795,126.504921
106,Gondal,Rajkot,2825,Gujarat,GJ,IN-GJ,112197,407,21.9619463,70.792297,140.0986023
107,Jamnagar,Jamnagar,288,Gujarat,GJ,IN-GJ,479920,95,22.4707019,70.05773,21.02386665
108,Jetpur,Rajkot,2823,Gujarat,GJ,IN-GJ,118302,380,21.761778,70.621101,85.68093109
109,Junagadh,Junagadh,285,Gujarat,GJ,IN-GJ,319462,139,21.522184,70.4578768,90.03440857
110,Kalol,Gandhinagar,2764,Gujarat,GJ,IN-GJ,113153,404,23.2463895,72.5086513,69.38564301
111,Khambhat,Anand,2698,Gujarat,GJ,IN-GJ,183830,237,22.316748,72.624144,17.96876717
112,Mahuva,Bhavnagar,2844,Gujarat,GJ,IN-GJ,98519,471,21.0902193,71.7563169,15.56348133
113,Mehsana,Mehsana,2762,Gujarat,GJ,IN-GJ,84133,522,23.5879607,72.3693252,82.83050537
114,Morbi,Morbi,2822,Gujarat,GJ,IN-GJ,194947,225,22.8119895,70.8236195,49.09431839
115,Nadiad,Kheda,268,Gujarat,GJ,IN-GJ,218095,200,22.6915853,72.8633635,36.0011673
116,Navsari,Navsari,2637,Gujarat,GJ,IN-GJ,160941,274,20.9467019,72.9520348,15.55265999
117,Palanpur,Palanpur,2742,Gujarat,GJ,IN-GJ,122344,368,24.174051,72.4330989,218.0046692
118,Patan,Patan,2766,Gujarat,GJ,IN-GJ,125497,364,23.8493246,72.1266255,83.89413452
119,Porbandar,Porbandar,286,Gujarat,GJ,IN-GJ,151770,293,21.6417069,69.6292654,7.072003841
120,Rajkot,Rajkot,281,Gujarat,GJ,IN-GJ,1286678,30,22.3038945,70.8021599,128.6469727
121,Surat,Surat,261,Gujarat,GJ,IN-GJ,4462002,8,21.1702401,72.8310607,13.92158127
122,Surendranagar,Surendranagar,2752,Gujarat,GJ,IN-GJ,177851,244,22.7201319,71.649536,67.79012299
123,Vadodara,Vadodara,265,Gujarat,GJ,IN-GJ,1670806,23,22.3071588,73.1812187,36.88405991
124,Valsad,Valsad,2632,Gujarat,GJ,IN-GJ,114636,398,20.5992349,72.9342451,14.99677181
125,Vapi,Valsad,260,Gujarat,GJ,IN-GJ,163630,269,20.3893155,72.9106202,25.61983109
126,Veraval,Gir Somnath,2876,Gujarat,GJ,IN-GJ,154636,285,20.91424,70.3611,8
127,Ambala,Ambala,171,Haryana,HR,IN-HR,407934,112,30.3781788,76.7766974,274.3565369
128,Bahadurgarh,Jhajjar,1276,Haryana,HR,IN-HR,170426,255,28.6924464,76.9239727,219.205719
129,Bhiwani,Bhiwani,1664,Haryana,HR,IN-HR,197662,220,28.7990445,76.1335112,218.6511383
130,Faridabad,Faridabad,129,Haryana,HR,IN-HR,1404653,28,28.4089123,77.3177894,205.292572
131,Gurgaon,Gurgaon,124,Haryana,HR,IN-HR,901968,54,28.4594965,77.0266383,228.025177
132,Hisar,Hisar,1662,Haryana,HR,IN-HR,306893,145,29.1491875,75.7216527,212.7848053
133,Jind,Jind,1681,Haryana,HR,IN-HR,166225,262,29.3211153,76.3058328,225
134,Kaithal,Kaithal,1746,Haryana,HR,IN-HR,144633,311,29.7856734,76.3984537,234.582428
135,Karnal,Karnal,184,Haryana,HR,IN-HR,303425,151,29.6856929,76.9904825,252.3700409
136,Palwal,Palwal,1275,Haryana,HR,IN-HR,131121,346,28.1487362,77.3320262,197.7573395
137,Panchkula,Panchkula,172,Haryana,HR,IN-HR,210175,206,30.6942091,76.860565,340.098877
138,Panipat,Panipat,180,Haryana,HR,IN-HR,442277,101,29.3909464,76.9635023,237.8469849
139,Rewari,Rewari,1274,Haryana,HR,IN-HR,140864,323,28.1927631,76.6239423,244.4236145
140,Rohtak,Rohtak,1262,Haryana,HR,IN-HR,373133,118,28.8955152,76.606611,223.922699
141,Sirsa,Sirsa,1666,Haryana,HR,IN-HR,183282,238,29.5335931,75.0177029,202.0065765
142,Sonipat,Sonipat,130,Haryana,HR,IN-HR,292339,156,28.9287735,77.091281,225.8131866
143,Thanesar,Kurukshetra,1744,Haryana,HR,IN-HR,154962,282,29.9696148,76.8197522,252.9472504
144,Yamunanagar,Yamunanagar,1732,Haryana,HR,IN-HR,383318,114,30.1290485,77.2673901,278.85849
145,Shimla,Shimla,177,Himachal Pradesh,HP,IN-HP,171817,253,31.1048145,77.1734033,2196.884277
146,Anantnag,Anantnag,1932,Jammu and Kashmir,JK,IN-JK,108505,421,33.704949,75.247874,1669
147,Jammu,Jammu,191,Jammu and Kashmir,JK,IN-JK,503690,88,32.726601,74.857031,327
148,Srinagar,Srinagar,194,Jammu and Kashmir,JK,IN-JK,1192792,35,34.081413,74.807591,1593.155396
149,Bokaro Steel City,Bokaro,6542,Jharkhand,JH,IN-JH,563417,76,23.6692956,86.151112,214.4392853
150,Chirkunda,Dhanbad,6540,Jharkhand,JH,IN-JH,118822,376,23.747887,86.7868768,127.4498215
151,Deoghar,Deoghar,6432,Jharkhand,JH,IN-JH,203116,211,24.4763201,86.6913222,252.3865356
